HELLOFRESH_WEEK,Brand,BOX_ID,DU_ID,DELIVERY_REGION,DELIVERY_DATE,DC,Carrier,TRACKING_CODE,WEEKDAY,PACKING_DAY,CUSTOMER_ID,STATE,POSTCODE,TIME_IN_TRANSIT,MESSAGE,CARRIER_CREATE_TIME,local_datetime,Local Date,Responsible Party,OTP Groups,DELIVERED,Error?,COMPLAINT,DETAIL_1,是否看照片
2023-W12,US,US267270664,H2672706640,NJ_AXLE-JFKNY,3/20/2023,NJ,AXLE,SCD0970110406463267,Monday,Sunday,39955116,NY,10036,1,SHIPMENT.PICKUP_READY,3/20/2023 9:57:34 上午,3/20/2023 5:57:34 上午,3/20/2023,FINAL MILE,Undelivered,0,1,"no_progress_in_tracking,no_progress_in_tracking",,是
2023-W12,US,US267273760,H2672737600,NW_AXLE-LAXCA,3/20/2023,NW,AXLE,SCD0970110406465406,Monday,Sunday,27792076,CA,92104,1,SHIPMENT.PICKUP_SUCCEEDED,3/20/2023 3:30:21 下午,3/20/2023 8:30:21 上午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267274453,H2672744530,NW_AXLE-LAXCA,3/20/2023,NW,AXLE,SCD0970110406462417,Monday,Sunday,48848548,CA,92630,1,SHIPMENT.RECEIVED_OK,3/20/2023 2:48:48 上午,3/19/2023 7:48:48 下午,3/19/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267278198,H2672781980,NW_AXLE-LAXCA,3/20/2023,NW,AXLE,SCD0970110406474367,Monday,Sunday,45646336,CA,90069,1,SHIPMENT.PICKUP_SUCCEEDED,3/21/2023 11:34:08 下午,3/21/2023 4:34:08 下午,3/21/2023,FINAL MILE,Undelivered,0,1,"late_delivery_2_or_more_days,late_delivery_2_or_more_days",,是
2023-W12,US,US267282346,H2672823460,NW_AXLE-LAXCA,3/20/2023,NW,AXLE,SCD0970110406461613,Monday,Sunday,29112073,CA,92109,1,SHIPMENT.RETURN_READY,3/20/2023 8:45:36 下午,3/20/2023 1:45:36 下午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267282948,H2672829480,NJ_AXLE-EWRNJ,3/20/2023,NJ,AXLE,SCD0970110406469460,Monday,Sunday,5080303,NJ,8757,1,SHIPMENT.DROPOFF_FAILED,3/20/2023 2:36:38 下午,3/20/2023 10:36:38 上午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267284953,H2672849530,AZ_AXLE-SALCA,3/20/2023,AZ,AXLE,SCD0008698900495346,Monday,Saturday,23706630,CA,94043,2,SHIPMENT.DROPOFF_READY,3/20/2023 4:46:41 下午,3/20/2023 9:46:41 上午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267287133,H2672871330,AZ_AXLE-SALCA,3/20/2023,AZ,AXLE,SCD0008698900494384,Monday,Saturday,43149495,CA,94043,2,SHIPMENT.DROPOFF_READY,3/20/2023 3:58:28 下午,3/20/2023 8:58:28 上午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267287496,H2672874960,NJ_AXLE-JFKNY,3/20/2023,NJ,AXLE,SCD0970110406462225,Monday,Sunday,44520149,NY,10463,1,SHIPMENT.RETURN_READY,3/21/2023 10:22:37 上午,3/21/2023 6:22:37 上午,3/21/2023,FINAL MILE,Undelivered,0,0,,,是
2023-W12,US,US267291572,H2672915720,AZ_AXLE-SALCA,3/20/2023,AZ,AXLE,SCD0008698900494325,Monday,Saturday,43706317,CA,94043,2,SHIPMENT.DROPOFF_READY,3/20/2023 4:53:37 下午,3/20/2023 9:53:37 上午,3/20/2023,FINAL MILE,Undelivered,0,0,,,是
