Question,Answer,Answer_1,Answer_2,Answer_3,Answer_4,Answer_5,Answer_6
aqzry,房屋建筑所有权人,,,,,,
skssx,2023年3月1日,,,,,,
dcsgx,产业类城市更新,,,,,,
njxyc,5,,,,,,
gbmba,15,,,,,,
jgytd,国家,,,,,,
cyjmq,一年,,,,,,
synxw,原土地使用权出让合同约定的使用年限减去原土地使用者已经使用年限后的剩余年限,,,,,,
ysyxy,2个,,,,,,
tlxxs,《北京市政府核准的投资项目目录（2018年本）》,,,,,,
yzbay,属地,,,,,,
xsknw,备案,,,,,,
ynzdd,2018年,,,,,,
xwgzr,20个工作日；10个工作日,,,,,,
nqxjm,3,,,,,,
mjbdy,10000,,,,,,
dbdym,24米 ,,,,,,
dcnsx,0.5个工作日,,,,,,
dsbwz,北京市经济和信息化局网站,,,,,,
ddzzz,0.5个工作日,,,,,,
xjrgc,150；100,,,,,,
blsxw,4,,,,,,
qzhwg,30%；15% ,,,,,,
csmsq,5个工作日,,,,,,
fsdsf,12分,,,,,,
sjbsy,5,,,,,,
qcrsr,2022年1月1日，税务部门,,,,,,
syqds,汽车加油站,,,,,,
brdqx,对所有参与投标的企业实施统一的资质审核标准,,,,,,
mdssy,提升工程质量和建设品质,,,,,,
ynbzd,2021年,,,,,,
zjzwd,正常开放,,,,,,
qjbwg,应当开放,,,,,,
cyssj,7，15,,,,,,
gfyyw,XX项目经现场验收，存在停车设施数量少于规划批复停车泊位数量问题，验收不通过,,,,,,
gsyqw,包含BDB和PDF的压缩包，格式为RAR或者ZIP,,,,,,
sczpt,全程网办房建类项目以上都需要,,,,,,
jdpsy,以上都可以,,,,,,
ssnyn,2023年,,,,,,
zjsfa,6米,,,,,,
blwds,100%,,,,,,
mjxbb,市规划自然资源委各相关分局,,,,,,
xdtdz,管理实践.社会需求和改革要求,,,,,,
mrhcl,免于办理建设工程规划许可证,,,,,,
chyds,规划用地测量,,,,,,
xnxjd,以上都是,,,,,,
fqzbk,以上都是,,,,,,
jdyxy,14,,,,,,
nqdgy,当日,,,,,,
bljrs,公共排水管网运营单位,,,,,,
sytjs,管径50厘米及以下，接入管线长度200米及以内,,,,,,
sxbcg,2工作日 ,,,,,,
nwcgs,6个自然日,,,,,,
qsqhd,国家项目代码,,,,,,
sqhsl,“一表式”,,,,,,
gsjjs,15,,,,,,
fbsjs,2022年7月2日,,,,,,
xxcjd,投标人,,,,,,
hzbrd,评标，定标,,,,,,
dswxx,资格预审合格申请人,,,,,,
dswxx,所有投标人,,,,,,
xrhbl,与施工许可证合并办理，无需单独办理,,,,,,
ydcsj,5个工作日以内,,,,,,
sgxkz,告知变更,,,,,,
cxjsw,2,,,,,,
jggzr,5,,,,,,
yzzcd,县级以上地方人民政府住房和城乡建设主管部门,,,,,,
sbhgd,禁止,,,,,,
jsdwy,竣工验收后,,,,,,
gysbg,不得,,,,,,
sydtj,消防验收申请表、工程竣工验收报告、涉及消防的建设工程竣工图纸,,,,,,
cjslp,应当,,,,,,
gzxyb,一次性,,,,,,
mtycj,联合验收,,,,,,
tgmzs,应当,,,,,,
jxxfy,不予,,,,,,
cbhgd,应当,,,,,,
cjbap,应当,,,,,,
jxlcl,消防验收备案表、工程竣工验收报告、涉及消防的建设工程竣工图纸,,,,,,
qsljd,当场,,,,,,
blxfy,无需,,,,,,
aysbl,建设单位,,,,,,
gysba,15日,,,,,,
hjrbj,1日,,,,,,
ssfww,以上都是,,,,,,
wdbdx,装配式建筑,,,,,,
czpls,单体建筑室外地坪以上的主体结构、围护墙和内隔墙、装修和设备管线等采用预制部品部件及加分项的综合比例,,,,,,
zpsjz,技术条件特殊，不适宜实施,,,,,,
ydsjj,200,,,,,,
bknjl,,居住类城市更新,产业类城市更新,设施类城市更新,公共空间类城市更新,区域综合性城市更新,
rbxfh,,土地利用总体规划,城市规划,年度建设用地计划,,,
dfsbk,,国有土地使用权出让,国有土地租赁,国有土地使用权作价出资或者入股,,,
dzqds,,居住用地七十年,工业用地五十年,教育、科技、文化、卫生、体育用地五十年,商业、旅游、娱乐用地四十年,,
tqksx,,备案制,核准制,,,,
xzrzd,,防火,防汛,治安,卫生,,
xzzgb,,人民防空主管部门,住房城乡建设,,,,
hxksx,,房屋建筑工程的施工暂设,在集体土地上建设的为村镇服务的公共图书馆,社会投资的住宅项目,政府投资的幼儿园,,
jdtgh,,规划编制,规划实施,建筑更新,,,
sfzzz,,各区政府,经开区管委会,土地一级开发主体,,,
tsqsc,,市政基础设施工程,机要工程,政府投资的重大工程,重要民生项目,,
qfwds,,城市公益事业用地,国家重点扶持的水利项目用地,军事用地 ,,,
zdjbk,,城镇土地基准地价,农用地和集体建设用地基准地价,公共服务项目用地基准地价,,,
zyxtj,,文物本体无安全隐患，具备基本的开放服务条件，符合安防.消防的基本要求，能够保障人员安全和文物安全,文物建筑使用主体责任清晰，能够承担开放的各项工作，履行文物日常保养职责,文物价值载体认定清,,,
xbknx,,2018年3月18日以后，取得规划许可证件的社会投资类房屋建筑项目,2021年1月1日以后，取得规划许可证件的政府投资类房屋建筑项目,,,,
ygzjd,,灰线,正负零,结构封顶,竣工,,
jddnr,,规划许可证件的公示情况,单体建筑符合规划许可情况,项目建设用地和临时用地的腾退情况,代征用地的移交接收情况,施工暂设的建设和拆除情况,门楼牌设置情况
xfskz,,多测合一数据比对,施工图抽查,现场检查,,,
zsdyq,,单层跨度超过6米,二层以上,人员密集型场所,,,
xdwts,,社会,属地街道办事处,乡镇人民政府,有管辖权限的住房城乡建设等行业行政主管部门,,
sfzgz,,位于水土流失低风险区A区的生产建设项目,位于水土流失一般风险区B区、较高风险区C区或高风险区D区，征占地面积小于0.5公顷且土石方挖填总量小于1000立方米的生产建设项目,符合水土保持规划要求的以水土流失防治为主要目标的小流域治理、库滨带建设、造林绿化、高标准农田建设等项目,,,
dqxtd,,审批结果文号,项目代码,,,,
xshgk,,所有投标人的商务信息,评标专家姓名,评标报告,,,
