POD,POD Qaulity,Issue Category,Delivery Comments,AH Assignment
,,,,
,,,,
,周四,Operation,Inbound ontime but outbound late for 1 day,Pickup late
,,Operation,Inbound ontime but outbound late for 2 days,Pickup late
,,Operation,Inbound ontime but outbound late for 3 days,Pickup late
,,Operation,Inbound ok but pickup failed,Pickup failed
,,Operation,Inbound ok but pickup missing,Pickup missing
,,Operation,Inbound ok but pickup damaged,Pickup damaged
,,,,
,,No Issue with AX delivery,Confirmed Delivery,Confirmed Delivery
,,No Issue with AX delivery,Confirmed ontime Delivery,Confirmed Delivery
,,No Issue with AX delivery,Positive feedback: I was not aware that the box was delivered!,Confirmed Delivery
,,No Issue with AX delivery,"positive feedback: Nevermind, back door.",Confirmed Delivery
,,No Issue with AX delivery,Early delivery,Early delivery
,,,,
,,Not Due to AX performance,Can't reach out to customer,Attempted/No Access
,,Not Due to AX performance,No Access/ Access code not working/ Can't reach out to customer,Attempted/No Access
,,Not Due to AX performance,Redelivered to the new address provided,Confirmed Delivery
,,Not Due to AX performance,Delivery failed - address/ Doorman/ Road construction,Incorrect address listed
,,Not Due to AX performance,No Access/ Access code not working/ Can't reach out to customer,Incorrect address listed
,,Not Due to AX performance,Wrong address,Incorrect address listed
,,Not Due to AX performance,Package refused,Package refused
,,Not Due to AX performance,Cancelled Order,Cancelled Order
,,Not Due to AX performance,No Access code,Outside Service Area
,,Not Due to AX performance,Out of delievery area,Outside Service Area
,,Not Due to AX performance,pickup ok but delivery failed - redeliver requested,Rescheduled
,,Not Due to AX performance,Inbound late,Received late
,,Not Due to AX performance,Inbound missing,Received missing
,,Not Due to AX performance,Inbound damaged,Received damaged
,,Not Due to AX performance,Weather,Weather
,,,,
,,,,
,GEOCODED,Routing,Goecoded right but didn't route,Misroute
,,,,
,周三,Operation,Inbound ok but pickup failed - pending,Missort
,,Operation,Received ok but damaged at pickup,Damaged - AxleHire
,,Operation,Inbound ok but outbound late,Missort
,,Operation,Inbound ok but pickup damaged,Missort
,,Operation,Inbound ok but pickup missing,Missort
,,Operation,Inbound ok but pickup failed - assigned,Missort
,,Operation,Inbound ok but pickup failed - discarded,Missort
,,Operation,Inbound ok but pickup failed - en_route,Missort
,,Operation,Inbound ontime but outbound late for 2 days,Missort
,,Operation,Inbound slightly delay but pickup missing or damaged,Missort
,,Operation,Inbound ontime but outbound late for 1 day,Missort
,,Operation,Inbound ontime but outbound late for 2 days,Missort
,,Operation,Inbound ontime but outbound late for 3 days,Missort
,,Operation,Inbound ontime but outbound late for 4 days,Missort
,,,,
,,,,
,,Delivery,Damaged box,Damaged box
,,Delivery,Driver behavior,Innapropriate behavior
,,,,
,,,,
,,Delivery,car problem,Not Delivered
,,Delivery,pickup ok but delivery failed - out of chain,Not delivered
,,Delivery,pickup ok but delivery failed,Not delivered
No,no pic,Delivery,pickup ok but delivery failed - pending,Not delivered
No,no pic,Delivery,pickup ok but delivery failed - missing,Not delivered
No,no pic,Delivery,pickup ok but delivery failed - discarded,Not delivered
,,,,
,,,,
,,Delivery,Driver didn't follow instruction,Delivery Cannot Be Confirmed
No,Bad pic - doorman,Delivery,Outside community/ Mailroom/ Door man,Delivery Cannot Be Confirmed
